source,content,classification
Facebook posts,"As of Aug. 25, ""Luis Rubiales has resigned as the president of the Spanish Football Federation.""",incredible
Instagram posts,"""America’s C40 cities will ban meat, dairy, new clothes, private cars by 2030.”",incredible
Vivek Ramaswamy,"Vice President Mike Pence on Jan. 6, 2021, could have approved the 2020 electoral votes on the condition that Congress pass an overhaul of election law.",incredible
Instagram posts,“Oprah started the fire.”,incredible
Facebook posts,“Mom of Barack Obama’s chef speaks out to expose Obama family.”,incredible
Instagram posts,“183 bodies have washed up on Lanai.”,incredible
Facebook posts,“Judge Cannon been ordered to DISQUALIFY herself in Trump's case.”,incredible
Facebook posts,"""Malaysian doctor put to death for giving COVID injection under the (Nuremberg) Code.”",incredible
Instagram posts,"The World Health Organization said there is ""a possible causal relationship"" between COVID-19 vaccines and multiple sclerosis.",incredible
Facebook posts,El COVID-19 “nunca existio”.,incredible
Facebook posts,FEMA and Red Cross are “confiscating” donations meant for Hawaii wildfire victims.,incredible
Facebook posts,Smart-city plans are behind wildfires in Tenerife.,incredible
Instagram posts,“Fauci declares that all unvaccinated citizens must be locked down this winter.”,incredible
Viral image,“Trump says Biden is an alien.”,incredible
Viral image,Fox News reported that California Gov. Gavin Newsom said former President Donald Trump “is not eligible for future presidential elections & has asked the California’s State Assembly to pass a bill that will remove Trump’s name on any future ballots.”,incredible
Facebook posts,"Hillary Clinton was “EXECUTED December 31, 2018.”",incredible
Viral image,Celebrities are “painting their Maui properties the same weird shade of blue.”,incredible
Facebook posts,Lucky Charms contains an unsafe amount of cleaning compound trisodium phosphate.,incredible
TikTok posts,"El incendio forestal en Maui, Hawai, fue provocado por un arma ""láser"" para crear una nueva ciudad tecnológica.",incredible
Facebook posts,Former President Barack Obama “reacts to chef’s wife blaming him for the death of her husband Talafi Cambell.”,incredible
Facebook posts,“Military arrests FEMA Deputy Administrator Erik Hooks.”,incredible
Vivek Ramaswamy,“The reality is more people are dying of bad climate change policies than they are of actual climate change.”,incredible
Instagram posts,U.S. Navy SEALs rescued 807 children who were being kept as sex slaves on a barge in San Francisco Bay.,incredible
Viral image,“New global virus called ID-10T is spreading quickly.”,incredible
Facebook posts,"“There has been zero response from local, regional or federal officials” to aid people affected by the Maui, Hawaii, wildfires.",incredible
Instagram posts,Images of blue things that weren’t burned in Hawaii are evidence directed energy weapons started the wildfires there.,incredible
Instagram posts,“Marines neutralize fleeing FEMA convoy in Maui.”,incredible
Facebook posts,"Video shows military planes over Nashville ""dispersing materials into the atmosphere"" for geoengineering.",incredible
Instagram posts,"Images of burned cars in Lahaina, Hawaii, are evidence wildfires there were started by directed energy weapons.",incredible
TikTok posts,"""Los Angeles Dodgers Stadium is flooded after mocking God!”",incredible
TikTok posts,"Maui, Hawaii, police chief arrests “witnesses” in part of wildfire cover-up.",incredible
Social Media,"A video showed President Joe Biden falling asleep during an event with the Maui, Hawaii, wildfire survivors and families.",incredible
Facebook posts,Video shows “articles of impeachment to be filed against President Joe Biden today!”,incredible
Mike Pence,“After China sent a balloon over strategic sites in the United States … President Biden literally sent the secretary of state hat in hand to go kowtow and ask for a meeting.”,incredible
Facebook posts,“Official statement — Putin assassinated in the Kremlin!”,incredible
Facebook posts,“WEF admits Maui wildfires orchestrated to transform Hawaii into 15-minute cities.”,incredible
Facebook posts,"La vacuna contra COVID-19 ""contiene óxido de grafeno"" y para desintoxicarte toma ""dióxido de cloro"".",incredible
Facebook posts,“Michelle Obama finally responds to Obama’s hidden gay secret.”,incredible
Joe Biden,“A higher percentage of American workers are working today than ever before.”,incredible
Instagram posts,"""Hawaii is being attacked by direct energy weapons.""",incredible
Donald Trump,"Fulton County District Attorney Fani Willis “campaigned and raised money on, ‘I will get Trump.’”",incredible
Social Media,A book published Aug. 10 about the Maui wildfires is proof the wildfires were planned.,incredible
Joe Biden,“I’ve already” declared a national climate emergency,incredible
Maria Bartiromo,“The FDA is now saying that it’s OK to take ivermectin if you have COVID.”,incredible
Facebook posts,"""The federal government has just declared a major food shortage emergency"" in six states.",incredible
Instagram posts,"Video shows Hawaii Gov. Josh Green “wants to turn Lahaina Maui into state lands. All planned for smart city.""",incredible
Instagram posts,“Military arrests Pfizer CEO Albert Bourla.”,incredible
Mike Pence,"“In three short years, we achieved energy independence.”",credible
Facebook posts,"“Wildfires do not completely burn out cars, glass and all, yet leaving nearby trees and utility poles still standing upright.”",incredible
Instagram posts,"While nearly naked, a member of Mexico’s congress said, “You are ashamed to see me naked, but you are not ashamed to see your people in the streets naked.”",incredible
Instagram posts,Maui fires are part of an intentional effort to rebuild the island into a “smart island.”,incredible
Steve Kirsch,"COVID-19 vaccines have killed 676,000 Americans.",incredible
The Gateway Pundit,Police report shows “massive 2020 voter fraud uncovered in Michigan.”,incredible
Facebook posts,“Hiroshima and Nagasaki were never nuked.”,incredible
Instagram posts,Bud Light billboard says “lol CRYBABIES”,incredible
Facebook posts,Photos show people wearing Ku Klux Klan hoods in the mini-mart owned by someone involved in the Montgomery riverfront brawl.,incredible
Ron DeSantis,“We’ve eliminated critical race theory in our K through 12 schools.”,incredible
Ron DeSantis,"""Illinois is now letting illegal aliens become police officers.""",incredible
Citizens Against Government Waste,A bill sponsored by U.S. Sen. Bernie Sanders would “increase government control” of pharmacy benefit managers and is a “radical health care takeover.”,incredible
Instagram posts,Photos are proof that Hawaii fires were caused by a “direct energy weapon assault on the people.”,incredible
Facebook posts,Fox News reported on “an energy-saving device that can save 90% of electricity” from Elon Musk.,incredible
Bloggers,The United Nations has warned Christians that if we do not fully accept the legalization of pedophilia that we will be excluded from participating in society.,incredible
Facebook posts,BBC News reported that British residents “no longer need to work” thanks to an investment project from Elon Musk.,incredible
Bloggers,"“Putin bans 5G across Russia, destroys all towers.”",incredible
Facebook posts,"Video showing celebrities, politicians and other notable figures with black eyes proves they are part of the Illuminati.",incredible
Facebook posts,Country singer Jason Aldean sued “The View” co-host Whoopi Goldberg.,incredible
Instagram posts,"""WEF chairman Klaus Schwab openly calls for AI technology to replace Democratic elections!”",incredible
Charlie Kirk,Douglass Mackey was convicted “because he made a meme in the 2016 election.”,incredible
Facebook posts,“King Charles exposed at Buckingham Palace as ancient reptilian shapeshifter.”,incredible
Viral image,Golfer John Daly commented on soccer player Megan Rapinoe “choking” during the World Cup.,incredible
Donald Trump,“They are trying to make it illegal to question the results of a bad election.”,incredible
Instagram posts,"California passed a law “reducing penalties for oral, anal sex with willing children.”",incredible
Donald Trump,The Trump administration “built nearly 500 miles of border wall.”,credible
Instagram posts,"""Beyonce paid $100K for Maryland Metro to run later following weather delays for her concert.”",credible
Donald Trump,"“During Biden’s first 30 months in office, just 2.1 million new jobs were created, and by contrast, during my first 30 months in office we created 4.9 million new jobs.”",incredible
Kamala Harris,“There are polls that also say I have great approval ratings.”,incredible
Viral image,Video shows a man interrupting Republican presidential candidate Will Hurd on “The View.”,incredible
Viral image,Video shows President Joe Biden falling asleep “on live TV.”,incredible
Facebook posts,“Code red emergency - poison released in the air” affecting 127 million people.,incredible
Donald Trump,"Says Gov. Ron DeSantis “opposed my China tariffs and he heartlessly opposed” $28 billion for farm relief, which was paid for by China.",incredible
TikTok posts,“Disease X” is “the next plandemic.”,incredible
Instagram posts,"""FBI director Wray confirms Joe Biden is under criminal investigation for Ukrainian bribes by the U.S. attorney in Delaware then tries to backpedal.”",incredible
Facebook posts,“We’re seeing two massive explosions on U.S. critical infrastructure in the past 24 hours that have caused power outages.”,incredible
Kamala Harris,"""Some states have “tried to ban teaching Latino and Hispanic history.”",incredible
Instagram posts,“A lot of your chain-food restaurants have been using (lab-grown meat) for years.”,incredible
Facebook posts,Video shows that Attorney General Merrick Garland “cries like kid after Taylor Greene calls out stupid ‘Trump’s Arraignment.’”,incredible
Instagram posts,“13 nations agree to abolish farming in order to save the planet.”,incredible
Facebook posts,“Una aguja puede salvar la vida de una persona teniendo un derrame cerebral”.,incredible
Joe Biden,"""Wages are up after being adjusted for inflation.""",credible
Facebook posts,"""Carne sintética impresa en 3D para todo el mundo la nueva orden de la ONU para preservar el planeta"".",incredible
Instagram posts,"Nicole Schwab said, “Permanent climate lockdowns coming — whether you like it or not.”",incredible
Chris Coons,“Consumer confidence is the highest it’s been in years.”,incredible
Jack Posobiec,"Judge Tanya Chutkan “is the only federal judge in Washington, D.C., who has sentenced Jan. 6 defendants to sentences longer than the government had requested.”",incredible
Instagram posts,People who received COVID-19 vaccines can “detoxify” their bodies from the spike protein.,incredible
Facebook posts,"The White House delivered an “official statement” July 28 that we “need to be getting prepared for something big to happen, potentially to our critical infrastructure.”",incredible
TikTok posts,A new law allows people to permanently erase unpaid debt older than two years from their credit records.,incredible
Instagram posts,"""Joe Biden no sabía que esta mujer estaba grabando y puedes escucharlo olfatear agresivamente a su pequeño hijo”.",incredible
Instagram posts,“Skin cancer is a relatively new phenomenon in the last 60 years or so.”,incredible
Instagram posts,"Former President Barack Obama “removed 500,000 pedophiles from background check database.”",incredible
Instagram posts,Photos of Barack Obama golfing with bandaged fingers are proof of his involvement in Tafari Campbell’s death.,incredible
Facebook posts,"There was a recent attempt to assassinate Donald Trump in Reno, Nevada.",incredible
Facebook posts,"Says Bill Gates said, “We’re taking things that are genetically modified organisms, and we’re injecting them into little kids’ arms” in the context of the COVID-19 pandemic.",incredible
Facebook posts,"Doctors in the Netherlands “ordered” to euthanize “citizens with autism and other minor disabilities, even if the patient does not currently express any desire to die.""",incredible
Social Media,Estas imágenes muestran a LeBron James vestido de rosa para la película “Barbie”.,incredible
Bernie Sanders,“Tens of millions of Americans live in communities where they cannot find a doctor while others have to wait months to be seen.”,credible
Instagram posts,A wind turbine must “spin continually for over four years just to replace the energy it took to manufacture it.”,incredible
Joe Biden,"“The No. 1 weather-related killer is heat. 600 people die annually from its effects, more than from floods, hurricanes and tornadoes in America combined.”",credible
Francis Suarez,"""In Biden's America, 7 million people illegally crossed the border and are given a free cellphone and airline tickets.""",incredible
Nicole Malliotakis,“You can work at some McDonald’s in this country for more money than … signing up for the military.”,credible
Facebook posts,"""No hay calentamiento global, de hecho las gráficas indican que nos estamos enfriando cada vez más”.",incredible
Lizzo,“The government just stated under oath that they are in possession of UFOs and nonhuman alien bodies.”,incredible
Social Media,These images show LeBron James dressed in pink for the “Barbie” movie.,incredible
Facebook posts,"""Las personas mayores de 65 años con dificultades financieras"" pueden calificar para una ""flex card"" de Medicare para comprar alimentos, pagar trabajo dental y otras necesidades.",incredible
Facebook posts,"Borax can be used to treat a variety of health problems, including joint pain, kidney stones, osteoporosis and chronic fatigue.",incredible
Instagram posts,"""Senator Mitt Romney threatens to leave the Republican party and join Democrats.”",incredible
Facebook posts,Video shows a van “‘Queer testing’ kids without parental approval … (that) involves clothing removal.”,incredible
Virginia Foxx,"Immigrants are supposed to “apply for asylum in the country where they are, and then they try to come into the United States.”",incredible
Facebook posts,"“Ahora resulta que la corporación de juguetes MATTEL, lanza una ‘Barbie BAFOMET’, para complacer a la estrenada sociedad de la iglesia satánica en EEUU.""",incredible
Tim Scott,“There have been more illegal encounters under Biden than the previous two administrations combined.”,incredible
Gays Against Groomers,“There is no such thing as a trans kid.”,incredible
Instagram posts,"When Bill Nye said “the Earth is a closed system,” he suggested space exploration is impossible.",incredible
Instagram posts,"Tafari Campbell, the Obamas’ personal chef who drowned, tweeted that he had “information that will lead to the arrest of Barack Obama.”",incredible
Facebook posts,Beyoncé “is a defendant in a major human trafficking case.”,incredible
Facebook posts,“US Navy SEALs are arresting Ron DeSantis” for running a child sex trafficking ring.,incredible
Facebook posts,“(Joe) Biden just gets up and leaves during a live TV interview.”,incredible
TikTok posts,"""Biden elimina ‘tráfico sexual de menores’ como una de las prioridades del Departamento de Justicia de su gobierno”.",incredible
TikTok posts,"A las personas que van a ver ‘Sound of Freedom’ “en medio de la película se les va la luz, les hacen unas alarmas de bomberos o simplemente dicen que tienen que evacuar”.",incredible
Facebook posts,“Luke Bryan pulls his videos from CMT: ‘Time for the Bud Light treatment.’”,incredible
Viral image,“Hank Williams Jr resigns from CMT’s board of directors: ‘I support Jason Aldean.’”,incredible
Instagram posts,“A Pfizer warehouse full of Covid vaccines was just DESTROYED BY A TORNADO in North Carolina.”,incredible
Facebook posts,MSNBC’s Joy Reid hawked diet gummies in an interview with CNN’s Anderson Cooper.,incredible
Instagram posts,Klaus Schwab “publicly admitted he is planning to implement China-style forced COVID lockdowns all over the world during the ‘next pandemic.’”,incredible
Tweets,ESPN soccer analyst Shaka Hislop collapsed on air because of the COVID-19 vaccine.,incredible
Facebook posts,“7 MINUTES AGO: Mel Gibson Cries For PROTECTION From Hollywood Elite After Sound of Freedom.”,incredible
Kamala Harris,Florida “decided middle school students will be taught that enslaved people benefited from slavery.”,credible
Facebook posts,Former President Donald Trump recently dispatched troops to the border.,incredible
Tweets,"""8 potentes explosiones en planta química de Luisiana - Estados Unidos, causando alerta roja por radiación en la zona donde se ordenó evacuar a toda la población"".",incredible
Facebook posts,"Licencias de conducir de “Connecticut, Delaware, Hawai, Rhode Island y Vermont…han sido declaradas no válidas"" en Florida.",incredible
Facebook posts,Two pipeline workers in the Chicago area were given fentanyl-laced water bottles.,incredible
Facebook posts,Photos show children wearing satanic clothing and participating in a satanic club.,incredible
Facebook posts,"Under the “2023 Solar Incentive Program,” U.S. homeowners can “now qualify to get a full, state-of-the-art solar system at absolutely no cost from the government.”",incredible
Instagram posts,"""Helicopter released deadly mosquitoes” at Baltimore’s AFRAM Festival.",incredible
Ron DeSantis,"“In some liberal states, you actually have post-birth abortions.”",incredible
Marjorie Taylor Greene,Prosecutor Jack Smith “only targets Republicans.”,incredible
Facebook posts,Video shows that “George Soros is going bankrupt.”,incredible
Facebook posts,Photo shows “the oldest man in the history of mankind” recorded by Guinness World Records.,incredible
Facebook posts,Walmart must refund 2022 customers $500.,incredible
Viral image,The Las Vegas Sphere displayed a derogatory message directed at President Joe Biden.,incredible
Instagram posts,Videos show Planned Parenthood “aiding sex traffickers in their crimes.”,incredible
Viral image,The World Economic Forum “says CBDCs must be ‘implanted under your skin’ if you want to participate in society.”,incredible
Instagram posts,The World Economic Forum “launches ‘mark of the beast’ CBDC microchip that will ‘end gun ownership in America.’”,incredible
Instagram posts,The tornado that destroyed a Pfizer building in North Carolina was orchestrated using weather manipulation to provide “an insurance claim for big pharma.”,incredible
Facebook posts,Video shows that Royal Canadian Mounted Police investigators determined that “dozens of wildfires in Canada” were caused by arson in 2023.,incredible
TikTok posts,"""If you get pulled over driving in Florida and your license is from Vermont, Delaware, RI, Connecticut or Hawaii, your license is invalid.""",incredible
Facebook posts,Walmart is selling bicycles for $6.95 instead of recycling them.,incredible
Viral image,President Joe Biden fell asleep during a meeting with Israeli President Isaac Herzog.,incredible
Instagram posts,"No human remains or aircraft debris were found at the Pentagon or in Pennsylvania after the Sept. 11, 2001, attacks.",incredible
Viral image,Elon Musk tweeted “looking into this” in response to a claim that the “KKK never did anything wrong to Black people.”,incredible
Instagram posts,Photo shows a highway in Houston.,incredible
"Robert F. Kennedy, Jr.",“COVID-19 is targeted to attack Caucasians and Black people. The people who are most immune are Ashkenazi Jews and Chinese.”,incredible
